iter	Passed	Remaining
0	214	214074
1	215	107666
2	217	72269
3	218	54505
4	219	43765
5	220	36584
6	222	31618
7	224	27878
8	225	24865
9	226	22461
10	228	20545
11	229	18911
12	230	17517
13	231	16319
14	232	15277
15	233	14365
16	234	13563
17	236	12905
18	237	12282
19	238	11704
20	239	11178
21	240	10712
22	242	10280
23	242	9878
24	243	9509
25	244	9167
26	245	8852
27	246	8559
28	247	8287
29	248	8033
30	250	7844
31	252	7633
32	253	7421
33	254	7221
34	255	7033
35	256	6857
36	256	6687
37	257	6530
38	258	6378
39	259	6232
40	260	6095
41	261	5965
42	262	5840
43	263	5721
44	264	5623
45	266	5519
46	267	5415
47	268	5315
48	269	5221
49	270	5130
50	270	5042
51	271	4956
52	272	4874
53	273	4794
54	274	4720
55	275	4648
56	276	4579
57	278	4515
58	278	4449
59	279	4384
60	281	4327
61	282	4270
62	283	4217
63	284	4166
64	285	4111
65	286	4059
66	287	4007
67	288	3956
68	289	3906
69	291	3866
70	292	3824
71	293	3780
72	294	3736
73	295	3695
74	296	3654
75	297	3613
76	298	3574
77	299	3535
78	300	3498
79	300	3461
80	301	3425
81	302	3390
82	303	3351
83	304	3322
84	306	3302
85	307	3271
86	308	3241
87	309	3211
88	310	3182
89	312	3155
90	313	3126
91	313	3098
92	314	3070
93	315	3043
94	316	3017
95	317	2993
96	318	2967
97	320	2951
98	322	2936
99	324	2916
100	325	2897
101	326	2874
102	327	2852
103	328	2833
104	331	2821
105	332	2800
106	334	2794
107	336	2781
108	337	2760
109	338	2741
110	339	2721
111	340	2700
112	341	2680
113	342	2661
114	343	2642
115	344	2624
116	345	2604
117	346	2588
118	347	2570
119	348	2553
120	350	2544
121	351	2531
122	352	2516
123	354	2504
124	355	2488
125	356	2472
126	357	2455
127	358	2440
128	359	2424
129	359	2409
130	360	2394
131	361	2379
132	362	2364
133	363	2350
134	366	2350
135	368	2340
136	369	2326
137	370	2317
138	372	2304
139	373	2292
140	375	2285
141	375	2271
142	376	2259
143	378	2247
144	381	2252
145	383	2244
146	385	2239
147	388	2239
148	390	2228
149	391	2219
150	401	2255
151	404	2255
152	406	2253
153	408	2243
154	414	2259
155	415	2250
156	417	2239
157	418	2230
158	424	2244
159	430	2258
160	431	2246
161	432	2238
162	433	2226
163	435	2218
164	436	2207
165	437	2199
166	439	2189
167	441	2188
168	445	2188
169	446	2178
170	447	2168
171	448	2158
172	449	2150
173	450	2139
174	451	2130
175	452	2120
176	453	2110
177	455	2104
178	457	2096
179	457	2086
180	459	2077
181	460	2067
182	461	2059
183	462	2052
184	464	2044
185	465	2038
186	470	2043
187	471	2037
188	472	2028
189	473	2019
190	475	2013
191	476	2005
192	477	1996
193	478	1988
194	480	1983
195	483	1981
196	485	1977
197	487	1973
198	489	1968
199	490	1963
200	492	1956
201	493	1948
202	496	1950
203	501	1955
204	502	1948
205	503	1940
206	504	1932
207	505	1924
208	506	1917
209	507	1910
210	508	1902
211	512	1903
212	513	1897
213	514	1891
214	516	1884
215	517	1877
216	518	1871
217	519	1864
218	520	1857
219	521	1850
220	523	1843
221	524	1839
222	528	1840
223	529	1834
224	530	1828
225	532	1824
226	534	1821
227	536	1815
228	537	1810
229	544	1822
230	547	1824
231	550	1822
232	551	1817
233	553	1810
234	555	1809
235	560	1812
236	561	1807
237	563	1803
238	564	1798
239	568	1799
240	571	1800
241	574	1798
242	575	1793
243	577	1788
244	578	1784
245	581	1783
246	583	1778
247	590	1789
248	592	1787
249	594	1782
250	595	1775
251	595	1769
252	596	1762
253	597	1756
254	598	1749
255	602	1752
256	604	1746
257	606	1744
258	612	1751
259	613	1745
260	614	1739
261	618	1742
262	622	1745
263	624	1739
264	626	1737
265	627	1730
266	628	1724
267	632	1727
268	633	1722
269	636	1720
270	638	1716
271	639	1710
272	641	1707
273	642	1703
274	647	1706
275	648	1701
276	649	1696
277	652	1695
278	654	1690
279	655	1686
280	656	1680
281	658	1676
282	663	1681
283	665	1677
284	667	1674
285	668	1669
286	670	1664
287	671	1660
288	672	1655
289	676	1657
290	678	1653
291	680	1649
292	682	1645
293	683	1641
294	685	1637
295	686	1632
296	687	1627
297	688	1621
298	691	1622
299	693	1617
300	695	1614
301	696	1610
302	698	1607
303	700	1603
304	701	1598
305	702	1593
306	707	1598
307	709	1594
308	713	1594
309	714	1590
310	717	1588
311	718	1583
312	722	1585
313	724	1581
314	728	1584
315	730	1580
316	732	1577
317	733	1572
318	734	1567
319	738	1570
320	742	1571
321	744	1567
322	746	1564
323	747	1559
324	748	1555
325	752	1555
326	754	1552
327	755	1548
328	757	1545
329	759	1542
330	760	1537
331	762	1534
332	763	1530
333	767	1531
334	769	1527
335	770	1522
336	773	1521
337	774	1517
338	776	1513
339	777	1509
340	778	1504
341	779	1500
342	781	1496
343	782	1492
344	784	1488
345	785	1484
346	786	1479
347	787	1475
348	789	1472
349	790	1467
350	791	1463
351	797	1467
352	801	1468
353	802	1464
354	804	1461
355	805	1457
356	806	1452
357	807	1448
358	810	1448
359	812	1444
360	815	1443
361	817	1440
362	818	1436
363	820	1432
364	821	1428
365	824	1428
366	826	1425
367	829	1424
368	830	1420
369	832	1417
370	833	1413
371	834	1409
372	835	1405
373	839	1405
374	848	1414
375	850	1411
376	856	1414
377	857	1411
378	859	1409
379	861	1405
380	862	1402
381	864	1398
382	865	1393
383	866	1389
384	867	1385
385	870	1385
386	872	1381
387	874	1378
388	875	1375
389	877	1372
390	880	1372
391	882	1369
392	884	1366
393	885	1362
394	886	1358
395	888	1354
396	890	1352
397	891	1348
398	892	1344
399	893	1340
400	894	1336
401	896	1333
402	898	1331
403	900	1328
404	902	1325
405	904	1322
406	905	1318
407	907	1316
408	908	1313
409	909	1309
410	912	1307
411	914	1304
412	916	1302
413	918	1300
414	919	1296
415	921	1292
416	922	1289
417	923	1285
418	924	1281
419	927	1281
420	929	1278
421	931	1275
422	933	1272
423	934	1269
424	935	1266
425	937	1263
426	938	1259
427	942	1259
428	943	1255
429	944	1252
430	946	1249
431	947	1246
432	949	1243
433	950	1239
434	951	1235
435	952	1232
436	953	1228
437	957	1228
438	959	1225
439	960	1221
440	961	1219
441	963	1215
442	964	1213
443	966	1210
444	968	1207
445	971	1207
446	973	1204
447	975	1202
448	977	1199
449	978	1195
450	979	1192
451	980	1188
452	981	1184
453	982	1181
454	983	1178
455	986	1177
456	987	1173
457	988	1170
458	990	1168
459	992	1164
460	993	1161
461	994	1158
462	996	1155
463	997	1152
464	1001	1152
465	1003	1149
466	1005	1147
467	1006	1144
468	1008	1141
469	1010	1140
470	1012	1136
471	1016	1136
472	1018	1134
473	1020	1131
474	1021	1129
475	1024	1127
476	1027	1126
477	1028	1122
478	1030	1121
479	1032	1118
480	1033	1115
481	1035	1113
482	1037	1110
483	1039	1107
484	1041	1105
485	1042	1102
486	1046	1102
487	1049	1100
488	1051	1098
489	1056	1099
490	1058	1097
491	1061	1095
492	1063	1093
493	1065	1091
494	1067	1089
495	1069	1086
496	1071	1084
497	1072	1081
498	1075	1079
499	1079	1079
500	1081	1077
501	1083	1075
502	1085	1072
503	1090	1073
504	1092	1070
505	1093	1067
506	1094	1064
507	1096	1061
508	1097	1058
509	1098	1055
510	1099	1052
511	1100	1049
512	1104	1048
513	1107	1047
514	1108	1044
515	1109	1041
516	1110	1037
517	1112	1034
518	1113	1031
519	1114	1028
520	1116	1026
521	1117	1023
522	1119	1021
523	1121	1018
524	1122	1015
525	1124	1013
526	1126	1010
527	1127	1008
528	1128	1005
529	1130	1002
530	1131	999
531	1135	998
532	1136	996
533	1138	993
534	1139	990
535	1140	987
536	1141	984
537	1143	981
538	1144	978
539	1145	975
540	1146	972
541	1148	970
542	1150	968
543	1151	965
544	1152	962
545	1154	959
546	1155	956
547	1156	954
548	1157	951
549	1159	948
550	1160	945
551	1162	943
552	1166	942
553	1167	940
554	1169	937
555	1171	935
556	1172	932
557	1173	929
558	1179	930
559	1180	927
560	1181	924
561	1187	925
562	1190	923
563	1191	921
564	1195	920
565	1198	919
566	1200	916
567	1202	914
568	1203	911
569	1204	908
570	1211	910
571	1213	908
572	1215	905
573	1216	903
574	1217	900
575	1218	897
576	1220	894
577	1221	891
578	1223	889
579	1224	886
580	1225	883
581	1227	881
582	1228	878
583	1229	875
584	1230	873
585	1231	870
586	1233	867
587	1234	865
588	1240	865
589	1241	862
590	1243	860
591	1244	857
592	1245	854
593	1246	852
594	1248	849
595	1249	846
596	1250	844
597	1253	842
598	1254	839
599	1255	837
600	1256	834
601	1258	831
602	1259	828
603	1260	826
604	1261	823
605	1262	820
606	1263	818
607	1264	815
608	1267	813
609	1268	811
610	1269	808
611	1271	805
612	1272	803
613	1273	800
614	1274	797
615	1275	794
616	1276	792
617	1277	789
618	1278	786
619	1279	784
620	1281	782
621	1283	780
622	1284	777
623	1286	775
624	1287	772
625	1288	769
626	1289	767
627	1290	764
628	1291	761
629	1293	759
630	1294	756
631	1296	755
632	1298	752
633	1299	750
634	1302	748
635	1304	746
636	1309	745
637	1317	747
638	1322	747
639	1328	747
640	1330	745
641	1335	744
642	1338	743
643	1342	742
644	1344	739
645	1347	738
646	1348	735
647	1350	733
648	1351	730
649	1352	728
650	1353	725
651	1358	725
652	1359	722
653	1363	721
654	1364	718
655	1365	716
656	1366	713
657	1367	711
658	1369	708
659	1375	708
660	1376	706
661	1377	703
662	1378	700
663	1383	699
664	1399	705
665	1407	705
666	1412	705
667	1413	702
668	1426	705
669	1428	703
670	1431	701
671	1439	702
672	1442	700
673	1488	720
674	1491	718
675	1493	715
676	1502	716
677	1506	715
678	1508	713
679	1513	712
680	1516	710
681	1517	707
682	1518	704
683	1522	703
684	1524	700
685	1525	698
686	1529	696
687	1531	694
688	1533	692
689	1534	689
690	1535	686
691	1537	684
692	1539	681
693	1540	679
694	1543	677
695	1546	675
696	1550	674
697	1552	671
698	1553	668
699	1554	666
700	1556	663
701	1558	661
702	1559	659
703	1561	656
704	1563	654
705	1565	651
706	1566	649
707	1568	647
708	1573	645
709	1576	643
710	1578	641
711	1579	638
712	1580	636
713	1581	633
714	1582	630
715	1587	629
716	1589	627
717	1590	624
718	1594	622
719	1595	620
720	1597	618
721	1600	616
722	1602	614
723	1604	611
724	1605	609
725	1607	606
726	1613	605
727	1615	603
728	1617	601
729	1619	598
730	1620	596
731	1621	593
732	1622	591
733	1624	588
734	1625	585
735	1626	583
736	1627	580
737	1628	578
738	1630	575
739	1632	573
740	1633	570
741	1634	568
742	1635	565
743	1638	563
744	1639	561
745	1640	558
746	1641	555
747	1643	553
748	1645	551
749	1647	549
750	1648	546
751	1650	544
752	1651	541
753	1652	539
754	1653	536
755	1654	534
756	1655	531
757	1657	529
758	1659	526
759	1661	524
760	1663	522
761	1665	520
762	1666	517
763	1667	515
764	1668	512
765	1669	510
766	1670	507
767	1674	505
768	1675	503
769	1677	500
770	1678	498
771	1679	496
772	1681	493
773	1682	491
774	1683	488
775	1684	486
776	1685	483
777	1688	481
778	1690	479
779	1692	477
780	1693	474
781	1695	472
782	1696	470
783	1697	467
784	1698	465
785	1699	462
786	1700	460
787	1703	458
788	1705	456
789	1707	453
790	1708	451
791	1709	449
792	1711	446
